Suggest_Method,Repeat,Iteration,I,H,C,P,Fluorescence
R-LLM,12,15,I5,H1,C4,P2,1451
R-LLM,12,15,I1,H5,C2,P1,3260
R-LLM,12,16,I4,H1,C3,P4,580
R-LLM,12,16,I2,H3,C2,P2,213
R-LLM,12,17,I4,H4,C2,P3,7197
R-LLM,12,17,I5,H2,C1,P1,12310
R-LLM,12,18,I1,H4,C3,P3,47866
R-LLM,12,18,I3,H3,C1,P4,52156
R-LLM,12,19,I2,H4,C3,P3,81404
R-LLM,12,19,I4,H2,C4,P3,1317074
R-LLM,12,20,I3,H5,C2,P3,116
R-LLM,12,20,I5,H1,C3,P2,2506
R-LLM,12,21,I1,H2,C4,P3,195055
R-LLM,12,21,I2,H1,C4,P1,333
R-LLM,12,22,I1,H3,C5,P4,1453
R-LLM,12,22,I2,H3,C1,P1,2217
R-LLM,12,23,I2,H2,C4,P4,314581
R-LLM,12,23,I3,H2,C1,P2,2505
R-LLM,12,24,I4,H2,C5,P4,133
R-LLM,12,24,I5,H4,C2,P4,5755
R-LLM,12,25,I2,H2,C1,P3,1187
R-LLM,12,25,I4,H4,C5,P4,2228
R-LLM,12,26,I2,H2,C3,P3,11373
R-LLM,12,26,I3,H1,C5,P4,1066
R-LLM,12,27,I4,H4,C2,P2,25881
R-LLM,12,27,I5,H2,C2,P2,257
R-LLM,12,28,I3,H4,C1,P1,12391
R-LLM,12,28,I1,H1,C1,P1,960
R-LLM,12,29,I1,H2,C5,P4,1517
R-LLM,12,29,I4,H5,C1,P3,7614
R-LLM,12,30,I2,H3,C4,P3,525213
R-LLM,12,30,I3,H1,C4,P1,402
R-LLM,12,31,I1,H3,C1,P2,907
R-LLM,12,31,I5,H2,C3,P1,64
R-LLM,12,32,I1,H1,C5,P2,4490
R-LLM,12,32,I5,H1,C2,P3,2898
R-LLM,12,33,I2,H4,C1,P3,549731
R-LLM,12,33,I4,H5,C4,P1,52
R-LLM,12,34,I3,H1,C4,P2,5106
R-LLM,12,34,I2,H1,C3,P1,11
R-LLM,12,35,I3,H2,C3,P3,429
R-LLM,12,35,I5,H3,C4,P1,912
R-LLM,12,36,I5,H3,C2,P2,622
R-LLM,12,36,I4,H3,C2,P4,729
R-LLM,12,37,I2,H1,C2,P3,12701
R-LLM,12,37,I5,H3,C3,P3,6468
R-LLM,12,38,I1,H3,C1,P4,29072
R-LLM,12,38,I2,H5,C4,P1,44
R-LLM,12,39,I2,H2,C5,P1,432
R-LLM,12,39,I3,H3,C2,P2,114
R-LLM,12,40,I1,H3,C2,P3,444
R-LLM,12,40,I4,H1,C2,P1,2964
R-LLM,12,41,I3,H4,C2,P2,6784
R-LLM,12,41,I5,H3,C1,P3,552
R-LLM,12,42,I2,H3,C5,P4,2759
R-LLM,12,42,I1,H4,C2,P4,53404
R-LLM,12,43,I3,H4,C5,P3,1628
R-LLM,12,43,I2,H2,C4,P1,4295
R-LLM,12,44,I3,H5,C4,P3,1763
R-LLM,12,44,I2,H2,C3,P2,22643
R-LLM,12,45,I3,H1,C2,P3,5071
R-LLM,12,45,I4,H3,C3,P4,714
R-LLM,12,46,I2,H4,C2,P3,717
R-LLM,12,46,I4,H1,C4,P3,18519
R-LLM,12,47,I4,H2,C3,P1,26
R-LLM,12,47,I3,H2,C5,P1,430
R-LLM,12,48,I3,H4,C4,P2,451
R-LLM,12,48,I2,H5,C3,P1,98
R-LLM,12,49,I4,H1,C3,P2,494
R-LLM,12,49,I5,H5,C2,P3,33831
R-LLM,12,50,I3,H5,C4,P2,123056
R-LLM,12,50,I1,H5,C4,P2,1189738
R-LLM,13,1,I3,H1,C4,P2,5106
R-LLM,13,1,I2,H3,C2,P4,397
R-LLM,13,2,I1,H5,C3,P1,204
R-LLM,13,2,I5,H2,C1,P3,13334
R-LLM,13,3,I4,H4,C5,P4,2228
R-LLM,13,3,I1,H2,C4,P3,195055
R-LLM,13,4,I5,H3,C4,P2,27981
R-LLM,13,4,I3,H5,C2,P1,235
R-LLM,13,5,I4,H1,C3,P1,13
R-LLM,13,5,I2,H4,C5,P2,1858
R-LLM,13,6,I5,H1,C4,P3,455263
R-LLM,13,6,I4,H5,C1,P4,331
R-LLM,13,7,I2,H5,C4,P3,2953
R-LLM,13,7,I4,H2,C3,P2,198
R-LLM,13,8,I5,H4,C4,P1,806841
R-LLM,13,8,I4,H3,C4,P1,452
R-LLM,13,9,I1,H1,C5,P3,2681
R-LLM,13,9,I3,H2,C4,P4,87686
R-LLM,13,10,I1,H2,C5,P4,1517
R-LLM,13,10,I2,H1,C4,P3,2434
R-LLM,13,11,I3,H4,C5,P1,611
R-LLM,13,11,I2,H2,C3,P1,11
R-LLM,13,12,I5,H5,C4,P2,7898
R-LLM,13,12,I1,H5,C4,P4,43692
R-LLM,13,13,I5,H2,C5,P2,1942
R-LLM,13,13,I3,H4,C2,P3,2388
R-LLM,13,14,I2,H3,C4,P1,2109
R-LLM,13,14,I1,H3,C4,P1,3401
R-LLM,13,15,I1,H4,C4,P1,79212
R-LLM,13,15,I5,H3,C1,P3,552
R-LLM,13,16,I3,H1,C5,P4,1066
R-LLM,13,16,I2,H4,C1,P3,549731
R-LLM,13,17,I4,H2,C4,P1,31476
R-LLM,13,17,I4,H4,C4,P3,7499
R-LLM,13,18,I5,H5,C5,P1,198
R-LLM,13,18,I4,H3,C5,P2,3095
R-LLM,13,19,I3,H1,C5,P2,11260
R-LLM,13,19,I1,H4,C5,P2,175
R-LLM,13,20,I2,H5,C3,P4,448
R-LLM,13,20,I4,H3,C2,P1,856
R-LLM,13,21,I1,H1,C2,P4,70151
R-LLM,13,21,I5,H2,C3,P1,64
R-LLM,13,22,I4,H2,C1,P1,564
R-LLM,13,22,I5,H3,C5,P4,498
R-LLM,13,23,I5,H1,C5,P2,48601
R-LLM,13,23,I4,H5,C2,P1,9
R-LLM,13,24,I2,H5,C5,P1,204
R-LLM,13,24,I4,H2,C5,P1,387
R-LLM,13,25,I2,H1,C1,P1,4355
R-LLM,13,25,I3,H3,C3,P2,51
R-LLM,13,26,I4,H2,C3,P1,26
R-LLM,13,26,I5,H4,C1,P2,197486
R-LLM,13,27,I3,H2,C5,P2,30022
R-LLM,13,27,I5,H1,C2,P3,2898
R-LLM,13,28,I3,H5,C4,P3,1763
R-LLM,13,28,I4,H4,C3,P2,1014
R-LLM,13,29,I2,H2,C2,P4,5820
R-LLM,13,29,I4,H5,C5,P2,69154
R-LLM,13,30,I5,H2,C4,P3,82456
R-LLM,13,30,I4,H2,C2,P3,576
R-LLM,13,31,I1,H4,C1,P3,26799
R-LLM,13,31,I4,H1,C2,P2,1332
R-LLM,13,32,I1,H1,C3,P2,3192
R-LLM,13,32,I4,H4,C2,P4,31394
R-LLM,13,33,I5,H5,C1,P4,237
R-LLM,13,33,I1,H3,C2,P2,563
R-LLM,13,34,I1,H5,C3,P2,351
R-LLM,13,34,I1,H5,C1,P2,1096
R-LLM,13,35,I3,H3,C4,P4,19498
R-LLM,13,35,I1,H2,C2,P1,1318
R-LLM,13,36,I4,H3,C1,P4,17504
R-LLM,13,36,I5,H4,C3,P1,61707
R-LLM,13,37,I5,H3,C2,P3,4960
R-LLM,13,37,I3,H5,C3,P4,657
R-LLM,13,38,I1,H3,C1,P2,907
R-LLM,13,38,I4,H5,C3,P1,79
R-LLM,13,39,I1,H1,C4,P3,5027
R-LLM,13,39,I3,H4,C4,P2,451
R-LLM,13,40,I5,H5,C3,P4,1807
R-LLM,13,40,I4,H1,C4,P2,10374
R-LLM,13,41,I3,H1,C1,P3,5964
R-LLM,13,41,I2,H2,C4,P2,9817
R-LLM,13,42,I2,H4,C4,P2,277
R-LLM,13,42,I3,H3,C4,P3,87871
R-LLM,13,43,I3,H4,C1,P3,544517
R-LLM,13,43,I2,H1,C3,P2,459
R-LLM,13,44,I3,H4,C4,P1,99899
R-LLM,13,44,I1,H2,C1,P3,435
R-LLM,13,45,I2,H2,C4,P1,4295
R-LLM,13,45,I5,H3,C3,P2,727
R-LLM,13,46,I2,H5,C1,P2,180
R-LLM,13,46,I3,H2,C1,P3,8565
R-LLM,13,47,I4,H1,C4,P1,263
R-LLM,13,47,I1,H2,C3,P4,50003
R-LLM,13,48,I1,H1,C2,P1,1654
R-LLM,13,48,I4,H4,C5,P4,2228
R-LLM,13,49,I2,H1,C5,P2,97843
R-LLM,13,49,I3,H2,C3,P4,608
R-LLM,13,50,I5,H3,C4,P3,125959
R-LLM,13,50,I3,H4,C3,P1,102
R-LLM,14,1,I4,H5,C3,P3,3806
R-LLM,14,1,I5,H5,C2,P1,6
R-LLM,14,2,I1,H3,C4,P2,4374
R-LLM,14,2,I3,H2,C1,P4,24
R-LLM,14,3,I2,H4,C5,P4,3997
R-LLM,14,3,I3,H1,C4,P1,402
R-LLM,14,4,I1,H1,C4,P4,357030
R-LLM,14,4,I3,H3,C3,P1,69
R-LLM,14,5,I4,H3,C4,P1,452
R-LLM,14,5,I2,H2,C4,P1,4295
R-LLM,14,6,I2,H5,C4,P3,2953
R-LLM,14,6,I1,H2,C2,P3,119
R-LLM,14,7,I5,H3,C4,P4,14484
R-LLM,14,7,I4,H4,C4,P2,1830
R-LLM,14,8,I1,H4,C4,P1,79212
R-LLM,14,8,I4,H4,C5,P3,83
R-LLM,14,9,I5,H1,C4,P1,8119
R-LLM,14,9,I1,H5,C4,P4,43692
R-LLM,14,10,I1,H2,C4,P1,1023
R-LLM,14,10,I1,H2,C3,P4,50003
R-LLM,14,11,I3,H5,C4,P2,123056
R-LLM,14,11,I5,H4,C4,P2,5605
R-LLM,14,12,I2,H1,C4,P1,333
R-LLM,14,12,I3,H2,C2,P3,266
R-LLM,14,13,I1,H1,C4,P3,5027
R-LLM,14,13,I5,H5,C4,P2,7898
R-LLM,14,14,I1,H2,C5,P4,1517
R-LLM,14,14,I2,H4,C3,P1,38
R-LLM,14,15,I5,H3,C1,P2,3299
R-LLM,14,15,I2,H3,C5,P4,2759
R-LLM,14,16,I3,H3,C5,P2,1071
R-LLM,14,16,I4,H2,C4,P3,1317074
R-LLM,14,17,I4,H1,C4,P4,10865
R-LLM,14,17,I1,H1,C4,P2,2488
R-LLM,14,18,I3,H1,C5,P4,1066
R-LLM,14,18,I2,H3,C2,P3,738
R-LLM,14,19,I1,H5,C2,P2,144
R-LLM,14,19,I4,H2,C3,P1,26
R-LLM,14,20,I5,H2,C4,P3,82456
R-LLM,14,20,I3,H4,C4,P1,99899
R-LLM,14,21,I1,H1,C3,P1,35
R-LLM,14,21,I4,H1,C3,P1,13
R-LLM,14,22,I3,H2,C4,P2,670
R-LLM,14,22,I2,H5,C3,P4,448
R-LLM,14,23,I4,H3,C3,P3,22614
R-LLM,14,23,I1,H4,C1,P2,1171921
R-LLM,14,24,I4,H1,C5,P4,1214
R-LLM,14,24,I2,H2,C5,P2,2128
R-LLM,14,25,I3,H5,C1,P3,17599
R-LLM,14,25,I5,H5,C1,P4,237
R-LLM,14,26,I4,H3,C4,P2,26785
R-LLM,14,26,I3,H4,C4,P3,183711
R-LLM,14,27,I1,H2,C5,P3,1604
R-LLM,14,27,I2,H3,C1,P1,2217
R-LLM,14,28,I1,H1,C5,P1,6995
R-LLM,14,28,I4,H2,C5,P4,133
R-LLM,14,29,I2,H5,C2,P4,1400
R-LLM,14,29,I3,H1,C2,P2,444
R-LLM,14,30,I5,H2,C3,P2,740
R-LLM,14,30,I2,H1,C5,P3,1102699
R-LLM,14,31,I3,H3,C4,P2,2832
R-LLM,14,31,I4,H5,C4,P1,52
R-LLM,14,32,I4,H3,C5,P1,3029
R-LLM,14,32,I1,H3,C1,P3,7073
R-LLM,14,33,I2,H2,C3,P3,11373
R-LLM,14,33,I5,H3,C2,P4,780
R-LLM,14,34,I1,H4,C3,P3,47866
R-LLM,14,34,I5,H4,C1,P4,1056921
R-LLM,14,35,I2,H1,C3,P4,5642
R-LLM,14,35,I3,H4,C2,P1,53171
R-LLM,14,36,I4,H1,C3,P4,580
R-LLM,14,36,I5,H2,C1,P3,13334
R-LLM,14,37,I1,H4,C2,P1,178299
R-LLM,14,37,I5,H1,C1,P2,517
R-LLM,14,38,I4,H1,C1,P3,10066
R-LLM,14,38,I3,H4,C3,P4,23537
R-LLM,14,39,I4,H1,C2,P3,6059
R-LLM,14,39,I5,H3,C5,P1,4533
R-LLM,14,40,I2,H3,C4,P2,8619
R-LLM,14,40,I3,H1,C3,P4,2208
R-LLM,14,41,I5,H5,C5,P1,198
R-LLM,14,41,I2,H2,C1,P4,342
R-LLM,14,42,I4,H3,C2,P1,856
R-LLM,14,42,I2,H4,C4,P2,277
R-LLM,14,43,I5,H1,C3,P3,809
R-LLM,14,43,I1,H2,C4,P2,2799
R-LLM,14,44,I1,H3,C2,P1,3254
R-LLM,14,44,I3,H5,C2,P1,235
R-LLM,14,45,I1,H5,C4,P3,23348
R-LLM,14,45,I3,H2,C3,P1,8
R-LLM,14,46,I1,H4,C5,P1,690
R-LLM,14,46,I2,H4,C2,P3,717
R-LLM,14,47,I5,H5,C5,P3,2468
R-LLM,14,47,I3,H4,C3,P1,102
R-LLM,14,48,I2,H4,C4,P1,768578
R-LLM,14,48,I4,H2,C5,P2,14505
R-LLM,14,49,I1,H4,C4,P4,571132
R-LLM,14,49,I2,H5,C5,P1,204
R-LLM,14,50,I3,H1,C1,P2,176
R-LLM,14,50,I4,H5,C5,P3,1351
R-LLM,15,1,I5,H1,C3,P2,2506
R-LLM,15,1,I3,H1,C5,P1,1330
R-LLM,15,2,I1,H2,C4,P3,195055
R-LLM,15,2,I2,H3,C2,P4,397
R-LLM,15,3,I1,H1,C1,P4,1061
R-LLM,15,3,I4,H2,C4,P3,1317074
R-LLM,15,4,I1,H2,C4,P1,1023
R-LLM,15,4,I4,H3,C4,P3,1243932
R-LLM,15,5,I4,H2,C4,P4,55257
R-LLM,15,5,I1,H2,C4,P2,2799
R-LLM,15,6,I5,H3,C4,P1,912
R-LLM,15,6,I3,H3,C4,P4,19498
R-LLM,15,7,I4,H2,C4,P2,23152
R-LLM,15,7,I3,H3,C3,P3,47774
R-LLM,15,8,I2,H4,C1,P4,1682296
R-LLM,15,8,I5,H5,C2,P3,33831
R-LLM,15,9,I2,H3,C4,P3,525213
R-LLM,15,9,I5,H2,C4,P4,77495
R-LLM,15,10,I2,H4,C3,P3,81404
R-LLM,15,10,I3,H4,C2,P3,2388
R-LLM,15,11,I2,H4,C4,P1,768578
R-LLM,15,11,I4,H1,C3,P2,494
R-LLM,15,12,I4,H4,C4,P3,7499
R-LLM,15,12,I4,H3,C5,P3,9668
R-LLM,15,13,I4,H5,C4,P3,828
R-LLM,15,13,I1,H4,C4,P3,10325
R-LLM,15,14,I2,H1,C4,P3,2434
R-LLM,15,14,I3,H2,C3,P4,608
R-LLM,15,15,I1,H3,C3,P3,66106
R-LLM,15,15,I5,H4,C5,P2,2556
R-LLM,15,16,I2,H5,C4,P2,596857
R-LLM,15,16,I3,H4,C4,P2,451
R-LLM,15,17,I2,H1,C2,P1,2440
R-LLM,15,17,I3,H2,C1,P2,2505
R-LLM,15,18,I1,H5,C4,P1,3280
R-LLM,15,18,I4,H4,C2,P1,142493
R-LLM,15,19,I1,H4,C5,P1,690
R-LLM,15,19,I4,H2,C3,P1,26
R-LLM,15,20,I3,H1,C3,P3,185
R-LLM,15,20,I1,H3,C2,P2,563
R-LLM,15,21,I5,H4,C2,P3,208
R-LLM,15,21,I1,H1,C2,P4,70151
R-LLM,15,22,I5,H2,C5,P3,2388
R-LLM,15,22,I3,H5,C4,P1,36
R-LLM,15,23,I5,H3,C1,P2,3299
R-LLM,15,23,I2,H5,C1,P3,11042
R-LLM,15,24,I2,H2,C3,P1,11
R-LLM,15,24,I5,H4,C2,P1,1192715
R-LLM,15,25,I4,H5,C5,P2,69154
R-LLM,15,25,I1,H5,C5,P2,1337
R-LLM,15,26,I2,H1,C1,P1,4355
R-LLM,15,26,I3,H2,C2,P2,43
R-LLM,15,27,I1,H2,C5,P3,1604
R-LLM,15,27,I3,H1,C5,P2,11260
R-LLM,15,28,I3,H4,C1,P4,162449
R-LLM,15,28,I2,H1,C5,P3,1102699
R-LLM,15,29,I3,H2,C4,P1,1131
R-LLM,15,29,I2,H1,C3,P1,11
R-LLM,15,30,I1,H5,C1,P1,552
R-LLM,15,30,I4,H4,C1,P1,153113
R-LLM,15,31,I5,H4,C4,P1,806841
R-LLM,15,31,I5,H3,C3,P1,25
R-LLM,15,32,I1,H2,C4,P3,195055
R-LLM,15,32,I3,H2,C4,P3,2674917
R-LLM,15,33,I4,H1,C3,P3,127
R-LLM,15,33,I2,H2,C1,P1,60221
R-LLM,15,34,I2,H2,C4,P1,4295
R-LLM,15,34,I3,H1,C4,P2,5106
R-LLM,15,35,I5,H4,C4,P4,225354
R-LLM,15,35,I2,H5,C4,P4,739
R-LLM,15,36,I4,H5,C3,P4,1341
R-LLM,15,36,I5,H1,C5,P4,3239
R-LLM,15,37,I5,H3,C5,P4,498
R-LLM,15,37,I2,H4,C3,P1,38
R-LLM,15,38,I4,H1,C4,P3,18519
R-LLM,15,38,I5,H1,C4,P3,455263
R-LLM,15,39,I4,H4,C3,P4,61707
R-LLM,15,39,I1,H4,C3,P4,390622
R-LLM,15,40,I1,H3,C2,P1,3254
R-LLM,15,40,I5,H4,C2,P4,5755
R-LLM,15,41,I3,H1,C4,P1,402
R-LLM,15,41,I3,H1,C2,P4,2821
R-LLM,15,42,I3,H4,C4,P4,89478
R-LLM,15,42,I5,H3,C4,P4,14484
R-LLM,15,43,I1,H2,C1,P3,435
R-LLM,15,43,I5,H5,C2,P1,6
R-LLM,15,44,I2,H3,C4,P4,1338
R-LLM,15,44,I3,H4,C5,P4,1162
R-LLM,15,45,I5,H2,C4,P1,92071
R-LLM,15,45,I3,H5,C1,P4,468
R-LLM,15,46,I3,H2,C4,P3,2674917
R-LLM,15,46,I5,H3,C4,P3,125959
R-LLM,15,47,I4,H2,C4,P3,1317074
R-LLM,15,47,I5,H3,C2,P1,1791
R-LLM,15,48,I2,H5,C1,P4,1083
R-LLM,15,48,I4,H4,C3,P1,187
R-LLM,15,49,I4,H1,C5,P4,1214
R-LLM,15,49,I1,H5,C3,P4,423
R-LLM,15,50,I5,H2,C1,P4,42713
R-LLM,15,50,I5,H3,C1,P3,552
R-LLM,16,1,I3,H1,C1,P2,176
R-LLM,16,1,I3,H1,C3,P3,185
R-LLM,16,2,I4,H3,C4,P1,452
R-LLM,16,2,I1,H2,C5,P4,1517
R-LLM,16,3,I2,H5,C1,P1,299
R-LLM,16,3,I5,H4,C2,P4,5755
R-LLM,16,4,I2,H3,C4,P2,8619
R-LLM,16,4,I5,H1,C3,P3,809
R-LLM,16,5,I2,H4,C3,P1,38
R-LLM,16,5,I1,H2,C4,P2,2799
R-LLM,16,6,I1,H4,C2,P2,8411
R-LLM,16,6,I4,H5,C5,P3,1351
R-LLM,16,7,I1,H4,C4,P3,10325
R-LLM,16,7,I2,H5,C5,P2,22103
R-LLM,16,8,I5,H3,C4,P1,912
R-LLM,16,8,I3,H5,C2,P4,2681
R-LLM,16,9,I3,H2,C4,P2,670
R-LLM,16,9,I4,H3,C2,P4,729
R-LLM,16,10,I2,H1,C4,P1,333
R-LLM,16,10,I1,H4,C1,P3,26799
R-LLM,16,11,I1,H3,C5,P4,1453
R-LLM,16,11,I5,H2,C1,P2,2170
R-LLM,16,12,I2,H4,C5,P3,4595
R-LLM,16,12,I5,H3,C5,P2,1507
R-LLM,16,13,I1,H1,C5,P2,4490
R-LLM,16,13,I4,H2,C3,P1,26
R-LLM,16,14,I5,H4,C4,P3,11626
R-LLM,16,14,I3,H5,C3,P1,46
R-LLM,16,15,I4,H5,C3,P1,79
R-LLM,16,15,I5,H2,C2,P3,439
R-LLM,16,16,I4,H2,C5,P2,14505
R-LLM,16,16,I3,H4,C4,P4,89478
R-LLM,16,17,I5,H5,C4,P2,7898
R-LLM,16,17,I2,H3,C5,P4,2759
R-LLM,16,18,I1,H4,C4,P1,79212
R-LLM,16,18,I3,H1,C4,P1,402
R-LLM,16,19,I2,H1,C5,P3,1102699
R-LLM,16,19,I4,H4,C3,P2,1014
R-LLM,16,20,I2,H4,C1,P1,207623
R-LLM,16,20,I1,H2,C2,P2,87
R-LLM,16,21,I3,H3,C4,P2,2832
R-LLM,16,21,I5,H3,C4,P2,27981
R-LLM,16,22,I4,H4,C5,P4,2228
R-LLM,16,22,I5,H5,C2,P3,33831
R-LLM,16,23,I1,H1,C2,P4,70151
R-LLM,16,23,I3,H2,C1,P3,8565
R-LLM,16,24,I1,H5,C4,P1,3280
R-LLM,16,24,I4,H1,C5,P2,14448
R-LLM,16,25,I2,H2,C1,P2,1438
R-LLM,16,25,I5,H3,C1,P4,25234
R-LLM,16,26,I3,H2,C5,P3,484
R-LLM,16,26,I4,H1,C2,P3,6059
R-LLM,16,27,I1,H1,C3,P4,65332
R-LLM,16,27,I2,H4,C2,P3,717
R-LLM,16,28,I3,H5,C4,P3,1763
R-LLM,16,28,I5,H2,C3,P2,740
R-LLM,16,29,I3,H1,C2,P4,2821
R-LLM,16,29,I1,H5,C1,P3,2255400
R-LLM,16,30,I1,H5,C1,P4,10536
R-LLM,16,30,I3,H5,C5,P4,51
R-LLM,16,31,I3,H2,C3,P4,608
R-LLM,16,31,I4,H3,C1,P3,3986
R-LLM,16,32,I1,H3,C2,P3,444
R-LLM,16,32,I3,H4,C5,P1,611
R-LLM,16,33,I4,H2,C4,P2,23152
R-LLM,16,33,I2,H5,C2,P1,1007
R-LLM,16,34,I5,H3,C2,P1,1791
R-LLM,16,34,I2,H3,C2,P1,2141
R-LLM,16,35,I4,H4,C2,P1,142493
R-LLM,16,35,I5,H4,C3,P1,61707
R-LLM,16,36,I4,H5,C4,P3,828
R-LLM,16,36,I2,H4,C4,P3,6751
R-LLM,16,37,I4,H4,C3,P4,61707
R-LLM,16,37,I5,H1,C3,P4,2794
R-LLM,16,38,I1,H5,C4,P4,43692
R-LLM,16,38,I3,H1,C5,P1,1330
R-LLM,16,39,I2,H5,C3,P4,448
R-LLM,16,39,I4,H2,C1,P4,1624
R-LLM,16,40,I4,H1,C4,P3,18519
R-LLM,16,40,I5,H5,C1,P4,237
R-LLM,16,41,I4,H2,C1,P2,2768
R-LLM,16,41,I5,H5,C4,P1,50
R-LLM,16,42,I4,H5,C2,P2,79
R-LLM,16,42,I5,H2,C1,P1,12310
R-LLM,16,43,I1,H2,C2,P1,1318
R-LLM,16,43,I3,H4,C1,P3,544517
R-LLM,16,44,I1,H3,C4,P2,4374
R-LLM,16,44,I4,H4,C2,P3,7197
R-LLM,16,45,I5,H4,C1,P3,2773348
R-LLM,16,45,I3,H3,C4,P3,87871
R-LLM,16,46,I4,H3,C4,P2,26785
R-LLM,16,46,I5,H2,C4,P3,82456
R-LLM,16,47,I2,H3,C4,P3,525213
R-LLM,16,47,I1,H1,C4,P3,5027
R-LLM,16,48,I1,H1,C5,P3,2681
R-LLM,16,48,I2,H1,C2,P2,625
R-LLM,16,49,I2,H3,C1,P3,5224
R-LLM,16,49,I4,H4,C5,P1,541
R-LLM,16,50,I1,H2,C2,P4,72535
R-LLM,16,50,I3,H5,C3,P2,71883
R-LLM,17,1,I4,H1,C3,P2,494
R-LLM,17,1,I3,H5,C4,P2,123056
R-LLM,17,2,I2,H3,C5,P4,2759
R-LLM,17,2,I5,H4,C2,P1,1192715
R-LLM,17,3,I1,H2,C1,P3,435
R-LLM,17,3,I2,H4,C5,P1,9539
R-LLM,17,4,I5,H2,C4,P3,82456
R-LLM,17,4,I3,H1,C2,P4,2821
R-LLM,17,5,I1,H3,C4,P4,5274
R-LLM,17,5,I4,H5,C1,P3,7614
R-LLM,17,6,I3,H3,C3,P3,47774
R-LLM,17,6,I4,H4,C5,P1,541
R-LLM,17,7,I5,H5,C1,P4,237
R-LLM,17,7,I1,H1,C5,P2,4490
R-LLM,17,8,I5,H2,C5,P1,861
R-LLM,17,8,I2,H3,C2,P3,738
R-LLM,17,9,I3,H4,C3,P1,102
R-LLM,17,9,I4,H2,C1,P4,1624
R-LLM,17,10,I1,H5,C3,P1,204
R-LLM,17,10,I2,H2,C3,P4,1549
R-LLM,17,11,I3,H5,C2,P3,116
R-LLM,17,11,I4,H3,C4,P1,452
R-LLM,17,12,I5,H1,C4,P2,1451
R-LLM,17,12,I3,H2,C5,P1,430
R-LLM,17,13,I5,H1,C2,P3,2898
R-LLM,17,13,I1,H3,C3,P1,159
R-LLM,17,14,I4,H2,C2,P1,1222
R-LLM,17,14,I2,H5,C3,P3,113506
R-LLM,17,15,I1,H4,C3,P2,12380
R-LLM,17,15,I2,H1,C5,P3,1102699
R-LLM,17,16,I4,H5,C2,P4,3438
R-LLM,17,16,I5,H3,C1,P2,3299
R-LLM,17,17,I2,H1,C3,P2,459
R-LLM,17,17,I5,H4,C4,P4,225354
R-LLM,17,18,I2,H1,C4,P2,807121
R-LLM,17,18,I3,H5,C4,P1,36
R-LLM,17,19,I5,H4,C1,P3,2773348
R-LLM,17,19,I4,H3,C2,P3,20
R-LLM,17,20,I1,H2,C2,P1,1318
R-LLM,17,20,I2,H4,C1,P4,1682296
R-LLM,17,21,I1,H1,C1,P1,960
R-LLM,17,21,I2,H2,C2,P2,65
R-LLM,17,22,I3,H2,C3,P2,152
R-LLM,17,22,I4,H1,C5,P4,1214
R-LLM,17,23,I3,H4,C1,P3,544517
R-LLM,17,23,I5,H1,C5,P2,48601
R-LLM,17,24,I3,H2,C1,P3,8565
R-LLM,17,24,I1,H3,C1,P3,7073
R-LLM,17,25,I5,H2,C3,P2,740
R-LLM,17,25,I4,H1,C4,P4,10865
R-LLM,17,26,I4,H1,C5,P2,14448
R-LLM,17,26,I3,H4,C5,P1,611
R-LLM,17,27,I3,H1,C3,P1,24
R-LLM,17,27,I3,H2,C4,P2,670
R-LLM,17,28,I1,H5,C2,P3,955
R-LLM,17,28,I5,H1,C3,P4,2794
R-LLM,17,29,I4,H1,C2,P2,1332
R-LLM,17,29,I2,H3,C1,P1,2217
R-LLM,17,30,I3,H3,C2,P2,114
R-LLM,17,30,I4,H1,C3,P1,13
R-LLM,17,31,I1,H3,C1,P2,907
R-LLM,17,31,I4,H2,C3,P2,198
R-LLM,17,32,I1,H5,C4,P2,1189738
R-LLM,17,32,I2,H1,C1,P4,364
R-LLM,17,33,I2,H1,C5,P2,97843
R-LLM,17,33,I3,H1,C5,P3,386
R-LLM,17,34,I3,H2,C4,P4,87686
R-LLM,17,34,I5,H4,C2,P3,208
R-LLM,17,35,I5,H3,C4,P1,912
R-LLM,17,35,I2,H2,C1,P3,1187
R-LLM,17,36,I4,H4,C3,P2,1014
R-LLM,17,36,I5,H5,C5,P4,828
R-LLM,17,37,I1,H1,C4,P3,5027
R-LLM,17,37,I3,H4,C2,P4,7944
R-LLM,17,38,I4,H1,C2,P4,1995
R-LLM,17,38,I3,H5,C3,P4,657
R-LLM,17,39,I1,H5,C4,P1,3280
R-LLM,17,39,I3,H4,C5,P4,1162
R-LLM,17,40,I5,H2,C4,P4,77495
R-LLM,17,40,I1,H4,C5,P3,1076
R-LLM,17,41,I5,H1,C5,P3,634
R-LLM,17,41,I2,H4,C2,P3,717
R-LLM,17,42,I1,H4,C2,P3,5883
R-LLM,17,42,I3,H3,C5,P3,2228
R-LLM,17,43,I4,H5,C4,P3,828
R-LLM,17,43,I5,H3,C2,P4,780
R-LLM,17,44,I5,H2,C3,P4,299
R-LLM,17,44,I2,H1,C4,P3,2434
R-LLM,17,45,I1,H1,C2,P2,80
R-LLM,17,45,I3,H2,C3,P4,608
R-LLM,17,46,I1,H1,C3,P4,65332
R-LLM,17,46,I4,H2,C5,P3,3472
R-LLM,17,47,I2,H4,C4,P3,6751
